id,name,email,source,country,status,created_at
1,Harper Khan,lead1@example.com,ads,NG,MQL,2023-12-01 07:24:00+0000
2,Quinn Garcia,lead2@example.com,referral,NG,DISQUALIFIED,2023-04-05 15:40:00+0000
3,Devin Rossi,lead3@example.com,referral,US,DISQUALIFIED,2023-06-02 07:45:00+0000
4,Kai Rossi,lead4@example.com,webform,GB,DISQUALIFIED,2023-10-03 18:39:00+0000
5,Riley Smith,lead5@example.com,ads,JP,MQL,2023-07-02 07:15:00+0000
6,Casey Rossi,lead6@example.com,webform,IN,SQL,2023-04-15 05:29:00+0000
7,Jordan Patel,lead7@example.com,referral,GB,SQL,2023-01-27 02:32:00+0000
8,Kai Silva,lead8@example.com,ads,SE,SQL,2023-05-23 11:42:00+0000
9,Harper Khan,lead9@example.com,ads,IN,MQL,2023-10-10 21:12:00+0000
10,Avery Okafor,lead10@example.com,organic,NG,MQL,2023-10-06 11:25:00+0000
11,Riley Garcia,lead11@example.com,ads,NG,CUSTOMER,2023-12-05 20:27:00+0000
12,Riley Rossi,lead12@example.com,referral,IN,NEW,2023-03-21 17:05:00+0000
13,Sasha Mori,lead13@example.com,event,JP,CUSTOMER,2023-09-27 20:46:00+0000
14,Noa Cohen,lead14@example.com,webform,DE,CUSTOMER,2023-01-18 05:38:00+0000
15,Sasha Smith,lead15@example.com,event,SE,SQL,2023-10-23 14:19:00+0000
16,Riley Smith,lead16@example.com,organic,NG,DISQUALIFIED,2023-05-17 01:34:00+0000
17,Riley Garcia,lead17@example.com,event,JP,CUSTOMER,2023-02-17 15:46:00+0000
18,Sasha Rossi,lead18@example.com,referral,GB,SQL,2023-11-30 04:17:00+0000
19,Harper Khan,lead19@example.com,referral,NG,NEW,2023-10-22 10:49:00+0000
20,Harper Okafor,lead20@example.com,webform,SE,MQL,2023-02-02 08:26:00+0000
21,Casey Larsson,lead21@example.com,referral,BR,CUSTOMER,2023-02-03 18:54:00+0000
22,Harper Smith,lead22@example.com,webform,GB,DISQUALIFIED,2023-02-28 16:17:00+0000
23,Jordan Garcia,lead23@example.com,event,JP,SQL,2023-10-24 13:16:00+0000
24,Jordan Nguyen,lead24@example.com,event,JP,SQL,2023-01-24 03:39:00+0000
25,Sasha Nguyen,lead25@example.com,webform,BR,NEW,2023-07-30 02:24:00+0000
26,Kai Rossi,lead26@example.com,event,JP,DISQUALIFIED,2023-01-11 16:28:00+0000
27,Riley Rossi,lead27@example.com,organic,NG,CUSTOMER,2023-07-01 22:16:00+0000
28,Devin Mori,lead28@example.com,organic,NG,DISQUALIFIED,2023-01-22 03:55:00+0000
29,Sasha Okafor,lead29@example.com,ads,IN,NEW,2023-08-14 03:45:00+0000
30,Casey Nguyen,lead30@example.com,ads,GB,MQL,2023-01-25 17:34:00+0000
31,Kai Smith,lead31@example.com,organic,SE,MQL,2023-02-24 21:59:00+0000
32,Sasha Smith,lead32@example.com,ads,US,DISQUALIFIED,2024-01-25 07:09:00+0000
