id,account_id,email,role,active
1,1,u1@1.example,ADMIN,True
2,2,u2@2.example,VIEWER,True
3,3,u3@3.example,ADMIN,True
4,3,u4@3.example,MEMBER,True
5,3,u5@3.example,MEMBER,True
6,3,u6@3.example,MEMBER,True
7,3,u7@3.example,ADMIN,True
8,3,u8@3.example,MEMBER,False
9,4,u9@4.example,VIEWER,True
10,4,u10@4.example,VIEWER,True
11,4,u11@4.example,MEMBER,True
12,4,u12@4.example,VIEWER,False
13,5,u13@5.example,MEMBER,False
14,5,u14@5.example,ADMIN,True
15,5,u15@5.example,ADMIN,True
16,5,u16@5.example,VIEWER,False
17,6,u17@6.example,ADMIN,False
18,6,u18@6.example,VIEWER,True
19,6,u19@6.example,ADMIN,False
20,6,u20@6.example,MEMBER,True
21,7,u21@7.example,ADMIN,True
22,7,u22@7.example,MEMBER,True
23,7,u23@7.example,ADMIN,False
24,7,u24@7.example,ADMIN,True
25,8,u25@8.example,VIEWER,True
26,8,u26@8.example,MEMBER,True
27,9,u27@9.example,MEMBER,True
28,9,u28@9.example,VIEWER,True
29,9,u29@9.example,VIEWER,True
30,9,u30@9.example,VIEWER,True
31,9,u31@9.example,VIEWER,True
32,9,u32@9.example,MEMBER,True
33,10,u33@10.example,ADMIN,True
34,10,u34@10.example,VIEWER,True
35,10,u35@10.example,VIEWER,True
36,10,u36@10.example,VIEWER,False
37,10,u37@10.example,VIEWER,False
38,11,u38@11.example,VIEWER,True
39,12,u39@12.example,VIEWER,False
40,12,u40@12.example,MEMBER,True
41,12,u41@12.example,ADMIN,False
42,12,u42@12.example,VIEWER,True
43,12,u43@12.example,ADMIN,True
44,12,u44@12.example,VIEWER,True
45,13,u45@13.example,ADMIN,True
46,13,u46@13.example,ADMIN,True
47,13,u47@13.example,VIEWER,False
48,13,u48@13.example,VIEWER,False
49,13,u49@13.example,MEMBER,True
50,14,u50@14.example,MEMBER,True
51,15,u51@15.example,MEMBER,False
52,15,u52@15.example,ADMIN,True
53,15,u53@15.example,ADMIN,True
54,16,u54@16.example,MEMBER,True
55,16,u55@16.example,MEMBER,True
56,16,u56@16.example,VIEWER,True
57,16,u57@16.example,MEMBER,False
58,16,u58@16.example,VIEWER,True
59,16,u59@16.example,MEMBER,True
60,17,u60@17.example,MEMBER,True
61,17,u61@17.example,VIEWER,True
62,17,u62@17.example,MEMBER,True
63,17,u63@17.example,ADMIN,True
64,18,u64@18.example,ADMIN,True
65,18,u65@18.example,MEMBER,False
66,19,u66@19.example,MEMBER,True
67,19,u67@19.example,MEMBER,False
68,20,u68@20.example,VIEWER,True
69,21,u69@21.example,ADMIN,True
70,21,u70@21.example,MEMBER,True
71,21,u71@21.example,ADMIN,True
72,22,u72@22.example,MEMBER,True
73,22,u73@22.example,VIEWER,True
74,23,u74@23.example,ADMIN,True
75,23,u75@23.example,VIEWER,True
76,23,u76@23.example,MEMBER,True
77,23,u77@23.example,ADMIN,True
78,23,u78@23.example,ADMIN,True
79,23,u79@23.example,VIEWER,True
80,24,u80@24.example,VIEWER,True
81,24,u81@24.example,MEMBER,True
82,24,u82@24.example,MEMBER,True
83,25,u83@25.example,ADMIN,True
84,25,u84@25.example,MEMBER,True
85,25,u85@25.example,MEMBER,True
86,25,u86@25.example,VIEWER,True
87,26,u87@26.example,VIEWER,False
88,26,u88@26.example,ADMIN,True
89,26,u89@26.example,MEMBER,False
90,26,u90@26.example,MEMBER,True
91,26,u91@26.example,VIEWER,True
92,27,u92@27.example,MEMBER,True
93,27,u93@27.example,MEMBER,True
94,27,u94@27.example,VIEWER,False
95,28,u95@28.example,VIEWER,True
96,29,u96@29.example,MEMBER,True
97,29,u97@29.example,VIEWER,True
98,29,u98@29.example,VIEWER,True
99,29,u99@29.example,ADMIN,True
100,29,u100@29.example,MEMBER,True
101,30,u101@30.example,MEMBER,True
102,30,u102@30.example,VIEWER,True
103,30,u103@30.example,VIEWER,True
104,30,u104@30.example,VIEWER,True
105,30,u105@30.example,MEMBER,False
106,31,u106@31.example,VIEWER,True
107,31,u107@31.example,MEMBER,True
108,32,u108@32.example,MEMBER,True
109,32,u109@32.example,VIEWER,True
110,32,u110@32.example,ADMIN,False
111,32,u111@32.example,VIEWER,True
112,32,u112@32.example,ADMIN,False
113,33,u113@33.example,ADMIN,True
114,33,u114@33.example,MEMBER,True
115,33,u115@33.example,MEMBER,True
116,33,u116@33.example,ADMIN,False
117,33,u117@33.example,VIEWER,True
118,34,u118@34.example,MEMBER,True
119,34,u119@34.example,VIEWER,False
120,34,u120@34.example,MEMBER,True
121,34,u121@34.example,VIEWER,True
122,34,u122@34.example,ADMIN,True
123,34,u123@34.example,MEMBER,False
124,35,u124@35.example,MEMBER,True
125,35,u125@35.example,ADMIN,False
126,35,u126@35.example,MEMBER,False
127,35,u127@35.example,VIEWER,True
128,35,u128@35.example,ADMIN,True
129,35,u129@35.example,VIEWER,False
130,36,u130@36.example,ADMIN,True
131,36,u131@36.example,VIEWER,True
132,36,u132@36.example,ADMIN,True
133,36,u133@36.example,VIEWER,True
134,36,u134@36.example,VIEWER,True
135,36,u135@36.example,ADMIN,False
136,37,u136@37.example,MEMBER,True
137,37,u137@37.example,MEMBER,True
138,37,u138@37.example,VIEWER,True
139,38,u139@38.example,MEMBER,True
140,38,u140@38.example,MEMBER,True
141,38,u141@38.example,MEMBER,True
142,38,u142@38.example,ADMIN,True
143,39,u143@39.example,ADMIN,True
144,40,u144@40.example,VIEWER,True
145,40,u145@40.example,ADMIN,True
146,40,u146@40.example,MEMBER,True
147,40,u147@40.example,VIEWER,True
148,40,u148@40.example,MEMBER,True
149,40,u149@40.example,ADMIN,True
