SubscriberKey,EmailAddress,Status,Country,Source,DateCreated
L1,lead1@example.com,Active,NG,ads,2023-12-01 07:24:00+0000
L2,lead2@example.com,Unsubscribed,NG,referral,2023-04-05 15:40:00+0000
L3,lead3@example.com,Unsubscribed,US,referral,2023-06-02 07:45:00+0000
L4,lead4@example.com,Unsubscribed,GB,webform,2023-10-03 18:39:00+0000
L5,lead5@example.com,Active,JP,ads,2023-07-02 07:15:00+0000
L6,lead6@example.com,Active,IN,webform,2023-04-15 05:29:00+0000
L7,lead7@example.com,Active,GB,referral,2023-01-27 02:32:00+0000
L8,lead8@example.com,Active,SE,ads,2023-05-23 11:42:00+0000
L9,lead9@example.com,Active,IN,ads,2023-10-10 21:12:00+0000
L10,lead10@example.com,Active,NG,organic,2023-10-06 11:25:00+0000
L11,lead11@example.com,Active,NG,ads,2023-12-05 20:27:00+0000
L12,lead12@example.com,Active,IN,referral,2023-03-21 17:05:00+0000
L13,lead13@example.com,Active,JP,event,2023-09-27 20:46:00+0000
L14,lead14@example.com,Active,DE,webform,2023-01-18 05:38:00+0000
L15,lead15@example.com,Active,SE,event,2023-10-23 14:19:00+0000
L16,lead16@example.com,Unsubscribed,NG,organic,2023-05-17 01:34:00+0000
L17,lead17@example.com,Active,JP,event,2023-02-17 15:46:00+0000
L18,lead18@example.com,Active,GB,referral,2023-11-30 04:17:00+0000
L19,lead19@example.com,Active,NG,referral,2023-10-22 10:49:00+0000
L20,lead20@example.com,Active,SE,webform,2023-02-02 08:26:00+0000
L21,lead21@example.com,Active,BR,referral,2023-02-03 18:54:00+0000
L22,lead22@example.com,Unsubscribed,GB,webform,2023-02-28 16:17:00+0000
L23,lead23@example.com,Active,JP,event,2023-10-24 13:16:00+0000
L24,lead24@example.com,Active,JP,event,2023-01-24 03:39:00+0000
L25,lead25@example.com,Active,BR,webform,2023-07-30 02:24:00+0000
L26,lead26@example.com,Unsubscribed,JP,event,2023-01-11 16:28:00+0000
L27,lead27@example.com,Active,NG,organic,2023-07-01 22:16:00+0000
L28,lead28@example.com,Unsubscribed,NG,organic,2023-01-22 03:55:00+0000
L29,lead29@example.com,Active,IN,ads,2023-08-14 03:45:00+0000
L30,lead30@example.com,Active,GB,ads,2023-01-25 17:34:00+0000
L31,lead31@example.com,Active,SE,organic,2023-02-24 21:59:00+0000
L32,lead32@example.com,Unsubscribed,US,ads,2024-01-25 07:09:00+0000
L33,lead33@example.com,Active,US,webform,2023-12-04 05:53:00+0000
L34,lead34@example.com,Active,JP,event,2023-07-25 23:54:00+0000
L35,lead35@example.com,Unsubscribed,US,organic,2023-11-08 11:09:00+0000
L36,lead36@example.com,Active,NG,ads,2023-10-28 02:07:00+0000
L37,lead37@example.com,Active,US,ads,2023-10-30 19:12:00+0000
L38,lead38@example.com,Active,NG,event,2023-04-13 00:20:00+0000
L39,lead39@example.com,Active,SE,event,2023-01-06 13:34:00+0000
L40,lead40@example.com,Active,DE,organic,2024-01-21 22:38:00+0000
L41,lead41@example.com,Unsubscribed,US,ads,2023-07-20 04:24:00+0000
L42,lead42@example.com,Active,IN,referral,2023-06-22 18:22:00+0000
L43,lead43@example.com,Active,JP,ads,2023-08-11 20:50:00+0000
L44,lead44@example.com,Active,US,event,2023-01-08 04:49:00+0000
L45,lead45@example.com,Active,GB,webform,2023-04-30 03:28:00+0000
L46,lead46@example.com,Active,SE,organic,2023-01-18 15:34:00+0000
L47,lead47@example.com,Active,DE,event,2023-04-02 11:46:00+0000
L48,lead48@example.com,Active,US,referral,2023-01-18 13:41:00+0000
L49,lead49@example.com,Active,IN,event,2023-07-12 20:07:00+0000
L50,lead50@example.com,Active,NG,referral,2023-12-15 17:41:00+0000
L51,lead51@example.com,Unsubscribed,JP,organic,2023-08-08 11:04:00+0000
L52,lead52@example.com,Active,NG,organic,2023-08-01 10:50:00+0000
L53,lead53@example.com,Unsubscribed,GB,organic,2023-11-04 06:17:00+0000
L54,lead54@example.com,Active,IN,organic,2023-11-01 09:12:00+0000
L55,lead55@example.com,Active,BR,organic,2023-08-29 13:15:00+0000
L56,lead56@example.com,Active,IN,ads,2023-10-06 14:16:00+0000
L57,lead57@example.com,Active,IN,ads,2023-08-25 04:03:00+0000
L58,lead58@example.com,Active,US,ads,2023-11-12 17:39:00+0000
L59,lead59@example.com,Unsubscribed,GB,organic,2023-03-29 12:23:00+0000
L60,lead60@example.com,Active,JP,ads,2023-01-03 17:17:00+0000
L61,lead61@example.com,Unsubscribed,BR,referral,2023-05-10 18:28:00+0000
L62,lead62@example.com,Active,GB,ads,2023-11-19 08:42:00+0000
L63,lead63@example.com,Active,US,referral,2023-02-15 20:33:00+0000
L64,lead64@example.com,Active,SE,organic,2023-10-27 06:23:00+0000
L65,lead65@example.com,Active,IN,ads,2023-08-01 06:58:00+0000
L66,lead66@example.com,Unsubscribed,GB,organic,2023-05-12 12:21:00+0000
L67,lead67@example.com,Active,NG,organic,2023-07-23 09:18:00+0000
L68,lead68@example.com,Active,NG,referral,2023-09-13 04:48:00+0000
L69,lead69@example.com,Active,US,referral,2023-11-02 03:43:00+0000
L70,lead70@example.com,Active,JP,referral,2023-11-12 22:02:00+0000
L71,lead71@example.com,Active,DE,organic,2023-12-17 00:25:00+0000
L72,lead72@example.com,Unsubscribed,JP,organic,2023-10-12 16:23:00+0000
L73,lead73@example.com,Unsubscribed,GB,referral,2023-08-29 12:21:00+0000
L74,lead74@example.com,Unsubscribed,GB,webform,2023-08-30 16:52:00+0000
L75,lead75@example.com,Active,US,organic,2023-03-10 13:13:00+0000
L76,lead76@example.com,Active,NG,event,2023-04-11 11:15:00+0000
L77,lead77@example.com,Active,NG,event,2023-11-27 09:32:00+0000
L78,lead78@example.com,Unsubscribed,JP,ads,2023-07-05 23:51:00+0000
L79,lead79@example.com,Active,SE,event,2023-01-21 18:42:00+0000
L80,lead80@example.com,Active,SE,webform,2023-08-04 23:16:00+0000
L81,lead81@example.com,Unsubscribed,DE,event,2023-10-07 07:41:00+0000
L82,lead82@example.com,Unsubscribed,IN,referral,2024-01-22 10:22:00+0000
L83,lead83@example.com,Active,NG,webform,2023-07-15 03:56:00+0000
L84,lead84@example.com,Unsubscribed,SE,referral,2023-11-25 23:59:00+0000
L85,lead85@example.com,Active,DE,referral,2023-09-09 01:51:00+0000
L86,lead86@example.com,Active,GB,event,2023-07-21 02:25:00+0000
L87,lead87@example.com,Active,IN,event,2023-04-20 09:31:00+0000
L88,lead88@example.com,Active,SE,referral,2024-02-01 08:24:00+0000
L89,lead89@example.com,Unsubscribed,US,ads,2023-07-23 05:47:00+0000
L90,lead90@example.com,Active,DE,webform,2023-09-05 09:17:00+0000
L91,lead91@example.com,Active,NG,webform,2023-01-08 11:52:00+0000
L92,lead92@example.com,Unsubscribed,BR,webform,2023-07-17 03:04:00+0000
L93,lead93@example.com,Active,BR,referral,2023-04-22 15:42:00+0000
L94,lead94@example.com,Active,IN,webform,2024-02-02 12:32:00+0000
L95,lead95@example.com,Active,GB,referral,2023-11-28 02:34:00+0000
L96,lead96@example.com,Unsubscribed,JP,referral,2023-12-26 19:26:00+0000
L97,lead97@example.com,Active,JP,ads,2023-03-07 14:44:00+0000
L98,lead98@example.com,Active,BR,organic,2023-07-21 11:08:00+0000
L99,lead99@example.com,Active,NG,referral,2023-08-20 14:36:00+0000
L100,lead100@example.com,Active,GB,webform,2024-01-07 01:55:00+0000
L101,lead101@example.com,Active,IN,organic,2023-04-18 01:10:00+0000
L102,lead102@example.com,Active,JP,ads,2023-12-24 09:07:00+0000
L103,lead103@example.com,Active,BR,event,2023-12-04 12:55:00+0000
L104,lead104@example.com,Unsubscribed,IN,referral,2023-11-16 06:03:00+0000
L105,lead105@example.com,Active,JP,ads,2023-05-08 04:23:00+0000
L106,lead106@example.com,Active,DE,referral,2023-05-23 16:14:00+0000
L107,lead107@example.com,Active,IN,webform,2023-05-21 10:14:00+0000
L108,lead108@example.com,Unsubscribed,SE,event,2023-09-20 16:29:00+0000
L109,lead109@example.com,Active,NG,webform,2023-06-16 09:50:00+0000
L110,lead110@example.com,Active,BR,webform,2023-09-12 10:56:00+0000
L111,lead111@example.com,Unsubscribed,IN,referral,2023-10-12 03:47:00+0000
L112,lead112@example.com,Active,DE,organic,2023-10-26 15:54:00+0000
L113,lead113@example.com,Active,JP,organic,2023-05-03 10:46:00+0000
L114,lead114@example.com,Active,IN,event,2023-07-23 11:23:00+0000
L115,lead115@example.com,Active,DE,ads,2023-01-26 23:57:00+0000
L116,lead116@example.com,Unsubscribed,DE,webform,2023-04-22 12:57:00+0000
L117,lead117@example.com,Active,IN,referral,2023-11-27 21:03:00+0000
L118,lead118@example.com,Active,GB,referral,2023-11-24 04:13:00+0000
L119,lead119@example.com,Active,JP,event,2023-10-22 07:59:00+0000
L120,lead120@example.com,Active,NG,ads,2023-10-05 06:38:00+0000
L121,lead121@example.com,Unsubscribed,SE,event,2023-11-15 07:43:00+0000
L122,lead122@example.com,Active,GB,referral,2023-09-22 11:20:00+0000
L123,lead123@example.com,Active,US,webform,2023-12-08 23:53:00+0000
L124,lead124@example.com,Active,SE,event,2023-10-10 19:08:00+0000
L125,lead125@example.com,Active,JP,referral,2023-10-26 04:11:00+0000
L126,lead126@example.com,Active,IN,event,2023-08-23 16:07:00+0000
L127,lead127@example.com,Active,BR,organic,2023-01-27 23:37:00+0000
L128,lead128@example.com,Active,DE,organic,2024-01-23 15:02:00+0000
L129,lead129@example.com,Active,SE,referral,2023-11-19 19:39:00+0000
L130,lead130@example.com,Active,US,webform,2023-11-07 17:43:00+0000
L131,lead131@example.com,Active,NG,webform,2023-01-18 09:04:00+0000
L132,lead132@example.com,Active,NG,organic,2023-09-28 21:23:00+0000
L133,lead133@example.com,Active,JP,referral,2023-03-25 06:47:00+0000
L134,lead134@example.com,Unsubscribed,SE,event,2023-04-23 12:58:00+0000
L135,lead135@example.com,Active,SE,event,2023-02-02 04:24:00+0000
L136,lead136@example.com,Unsubscribed,SE,event,2023-06-25 06:48:00+0000
L137,lead137@example.com,Active,SE,webform,2023-06-01 05:21:00+0000
L138,lead138@example.com,Active,NG,organic,2023-05-01 01:57:00+0000
L139,lead139@example.com,Active,DE,referral,2023-06-18 06:14:00+0000
L140,lead140@example.com,Active,BR,webform,2023-04-05 11:00:00+0000
L141,lead141@example.com,Unsubscribed,SE,event,2023-11-13 12:55:00+0000
L142,lead142@example.com,Unsubscribed,DE,organic,2023-07-12 00:21:00+0000
L143,lead143@example.com,Active,DE,ads,2023-03-15 15:08:00+0000
L144,lead144@example.com,Active,US,ads,2024-01-24 13:47:00+0000
L145,lead145@example.com,Active,GB,event,2023-12-19 13:52:00+0000
L146,lead146@example.com,Active,IN,webform,2024-01-09 22:59:00+0000
L147,lead147@example.com,Active,NG,referral,2023-12-20 15:41:00+0000
L148,lead148@example.com,Unsubscribed,IN,event,2023-02-16 11:23:00+0000
L149,lead149@example.com,Unsubscribed,SE,event,2024-01-07 18:39:00+0000
L150,lead150@example.com,Active,IN,ads,2023-07-03 15:36:00+0000
L151,lead151@example.com,Unsubscribed,IN,webform,2023-12-10 03:32:00+0000
L152,lead152@example.com,Active,US,organic,2023-07-25 22:49:00+0000
L153,lead153@example.com,Active,BR,webform,2023-12-30 05:53:00+0000
L154,lead154@example.com,Active,GB,event,2023-11-25 16:35:00+0000
L155,lead155@example.com,Active,IN,organic,2024-01-23 19:38:00+0000
L156,lead156@example.com,Active,IN,ads,2023-08-16 04:28:00+0000
L157,lead157@example.com,Active,IN,ads,2023-12-11 11:52:00+0000
L158,lead158@example.com,Active,BR,referral,2024-01-18 10:30:00+0000
L159,lead159@example.com,Active,DE,organic,2023-09-28 15:53:00+0000
L160,lead160@example.com,Active,DE,referral,2023-10-03 14:25:00+0000
L161,lead161@example.com,Active,SE,webform,2023-04-03 17:57:00+0000
L162,lead162@example.com,Active,GB,webform,2023-04-22 08:43:00+0000
L163,lead163@example.com,Active,SE,organic,2023-04-01 06:06:00+0000
L164,lead164@example.com,Unsubscribed,NG,organic,2024-01-25 05:23:00+0000
L165,lead165@example.com,Active,SE,referral,2023-08-20 00:40:00+0000
L166,lead166@example.com,Unsubscribed,SE,organic,2023-04-29 08:17:00+0000
L167,lead167@example.com,Active,US,referral,2023-08-19 10:47:00+0000
L168,lead168@example.com,Active,SE,referral,2023-04-21 20:18:00+0000
L169,lead169@example.com,Active,IN,ads,2023-11-29 22:48:00+0000
L170,lead170@example.com,Active,SE,referral,2023-11-02 11:16:00+0000
L171,lead171@example.com,Active,US,event,2023-12-15 22:38:00+0000
L172,lead172@example.com,Active,BR,referral,2023-11-27 22:21:00+0000
L173,lead173@example.com,Active,GB,ads,2024-01-01 23:08:00+0000
L174,lead174@example.com,Active,DE,organic,2023-08-09 17:58:00+0000
L175,lead175@example.com,Unsubscribed,IN,referral,2023-10-01 13:14:00+0000
L176,lead176@example.com,Unsubscribed,NG,organic,2024-01-08 01:29:00+0000
L177,lead177@example.com,Active,NG,ads,2023-07-28 20:58:00+0000
L178,lead178@example.com,Active,JP,ads,2023-12-24 00:35:00+0000
L179,lead179@example.com,Unsubscribed,BR,referral,2023-09-24 12:15:00+0000
L180,lead180@example.com,Active,US,event,2023-05-10 14:43:00+0000
L181,lead181@example.com,Active,JP,ads,2024-01-10 10:01:00+0000
L182,lead182@example.com,Active,SE,webform,2024-01-25 04:47:00+0000
L183,lead183@example.com,Active,JP,webform,2023-05-10 20:08:00+0000
L184,lead184@example.com,Active,GB,webform,2023-01-22 13:17:00+0000
L185,lead185@example.com,Active,NG,ads,2023-04-26 20:26:00+0000
L186,lead186@example.com,Active,DE,referral,2023-04-04 05:40:00+0000
L187,lead187@example.com,Active,GB,referral,2023-12-19 05:07:00+0000
L188,lead188@example.com,Active,DE,event,2024-01-24 16:38:00+0000
L189,lead189@example.com,Active,SE,ads,2023-11-24 22:48:00+0000
L190,lead190@example.com,Unsubscribed,GB,referral,2023-02-22 13:58:00+0000
L191,lead191@example.com,Active,NG,organic,2023-04-16 06:23:00+0000
L192,lead192@example.com,Active,JP,webform,2023-04-12 08:56:00+0000
L193,lead193@example.com,Active,IN,organic,2023-03-01 19:25:00+0000
L194,lead194@example.com,Active,JP,ads,2023-02-17 13:19:00+0000
L195,lead195@example.com,Active,NG,webform,2023-06-29 08:22:00+0000
L196,lead196@example.com,Active,JP,referral,2023-04-19 05:01:00+0000
L197,lead197@example.com,Active,IN,event,2023-03-23 10:43:00+0000
L198,lead198@example.com,Active,NG,event,2023-09-06 11:53:00+0000
L199,lead199@example.com,Active,NG,ads,2023-12-20 15:57:00+0000
L200,lead200@example.com,Active,US,webform,2023-12-07 07:09:00+0000
L201,lead201@example.com,Active,GB,referral,2023-05-10 22:10:00+0000
L202,lead202@example.com,Unsubscribed,SE,organic,2023-02-20 03:43:00+0000
L203,lead203@example.com,Active,NG,event,2023-08-23 10:21:00+0000
L204,lead204@example.com,Unsubscribed,US,organic,2023-09-11 20:39:00+0000
L205,lead205@example.com,Active,SE,referral,2023-04-13 11:04:00+0000
L206,lead206@example.com,Unsubscribed,JP,event,2023-02-04 11:29:00+0000
L207,lead207@example.com,Active,JP,referral,2023-05-17 12:56:00+0000
L208,lead208@example.com,Active,US,referral,2023-05-31 17:16:00+0000
L209,lead209@example.com,Active,GB,webform,2023-07-29 09:00:00+0000
L210,lead210@example.com,Active,GB,event,2024-01-15 16:09:00+0000
L211,lead211@example.com,Unsubscribed,BR,referral,2023-02-20 18:52:00+0000
L212,lead212@example.com,Active,JP,event,2023-09-20 12:11:00+0000
L213,lead213@example.com,Active,NG,referral,2023-08-10 10:12:00+0000
L214,lead214@example.com,Active,US,ads,2023-07-18 07:10:00+0000
L215,lead215@example.com,Active,JP,ads,2023-09-21 21:31:00+0000
L216,lead216@example.com,Active,JP,webform,2023-05-27 03:19:00+0000
L217,lead217@example.com,Unsubscribed,BR,referral,2023-06-10 04:23:00+0000
L218,lead218@example.com,Active,IN,ads,2023-05-03 22:10:00+0000
